463,482
463,507
463,528
463,553
463,574
463,618
463,645
463,667
463,691
463,734
463,756
463,783
463,805
488,805
488,783
488,756
488,734
488,691
488,667
488,645
488,618
488,574
488,553
488,528
488,507
488,482
513,482
513,507
513,528
513,553
513,574
513,618
513,645
513,667
513,691
513,734
513,756
513,783
513,805
538,805
538,783
538,756
538,734
538,691
538,667
538,645
538,618
538,574
538,553
538,528
538,507
538,482
563,482
563,507
563,528
563,553
563,574
563,618
563,645
563,667
563,691
563,734
563,756
563,783
563,805
588,805
588,783
588,756
588,734
588,691
588,667
588,645
588,618
588,574
588,553
588,528
588,507
588,482
613,482
613,507
613,528
613,553
613,574
613,618
613,645
613,667
613,691
613,734
613,756
613,783
613,805
638,805
638,783
638,756
638,734
638,691
638,667
638,645
638,618
638,574
638,553
638,528
638,507
